orgao,descritor,modelo,n_splits_cv,balanced_accuracy_cv_mean,balanced_accuracy_cv_std,test_balanced_accuracy,test_f1_macro,test_auc_roc_macro,test_auc_pr_macro,test_sensitivity_mean,test_specificity_mean,melhores_hiperparametros
bowel,intensidade,SVM,5,0.679,0.174,0.724,0.344,0.668,0.517,0.724,0.724,"{'svm__C': 0.1, 'svm__kernel': 'linear'}"
bowel,intensidade,RandomForest,5,0.546,0.092,0.49,0.49,0.242,0.492,0.49,0.49,"{'rf__max_depth': 10, 'rf__n_estimators': 100}"
bowel,intensidade,XGBoost,5,0.499,0.003,0.5,0.495,0.847,0.639,0.5,0.5,"{'xgb__max_depth': 3, 'xgb__n_estimators': 300}"
bowel,textura,SVM,5,0.659,0.172,0.337,0.398,0.143,0.49,0.337,0.337,"{'svm__C': 1, 'svm__kernel': 'linear'}"
bowel,textura,RandomForest,5,0.54,0.113,0.418,0.451,0.347,0.5,0.418,0.418,"{'rf__max_depth': 5, 'rf__n_estimators': 300}"
bowel,textura,XGBoost,5,0.494,0.006,0.5,0.495,0.413,0.504,0.5,0.5,"{'xgb__max_depth': 5, 'xgb__n_estimators': 300}"
bowel,forma,SVM,5,0.619,0.135,0.531,0.379,0.505,0.509,0.531,0.531,"{'svm__C': 0.1, 'svm__kernel': 'rbf'}"
bowel,forma,RandomForest,5,0.505,0.083,0.403,0.441,0.214,0.491,0.403,0.403,"{'rf__max_depth': 5, 'rf__n_estimators': 300}"
bowel,forma,XGBoost,5,0.545,0.096,0.495,0.492,0.378,0.498,0.495,0.495,"{'xgb__max_depth': 3, 'xgb__n_estimators': 100}"
bowel,combinado,SVM,5,0.733,0.135,0.352,0.408,0.286,0.497,0.352,0.352,"{'svm__C': 0.1, 'svm__kernel': 'rbf'}"
bowel,combinado,RandomForest,5,0.5,0.0,0.495,0.492,0.245,0.493,0.495,0.495,"{'rf__max_depth': None, 'rf__n_estimators': 100}"
bowel,combinado,XGBoost,5,0.494,0.006,0.495,0.492,0.48,0.507,0.495,0.495,"{'xgb__max_depth': 5, 'xgb__n_estimators': 100}"
extravasation,intensidade,SVM,5,0.599,0.093,0.478,0.446,0.481,0.508,0.478,0.478,"{'svm__C': 1, 'svm__kernel': 'linear'}"
extravasation,intensidade,RandomForest,5,0.499,0.003,0.5,0.474,0.499,0.516,0.5,0.5,"{'rf__max_depth': None, 'rf__n_estimators': 100}"
extravasation,intensidade,XGBoost,5,0.48,0.007,0.5,0.474,0.526,0.518,0.5,0.5,"{'xgb__max_depth': 5, 'xgb__n_estimators': 300}"
extravasation,textura,SVM,5,0.548,0.118,0.494,0.399,0.534,0.524,0.494,0.494,"{'svm__C': 1, 'svm__kernel': 'linear'}"
extravasation,textura,RandomForest,5,0.543,0.082,0.422,0.417,0.524,0.564,0.422,0.422,"{'rf__max_depth': 10, 'rf__n_estimators': 300}"
extravasation,textura,XGBoost,5,0.509,0.036,0.494,0.471,0.451,0.507,0.494,0.494,"{'xgb__max_depth': 3, 'xgb__n_estimators': 100}"
extravasation,forma,SVM,5,0.571,0.104,0.522,0.43,0.533,0.567,0.522,0.522,"{'svm__C': 0.1, 'svm__kernel': 'rbf'}"
