orgao,descritor,modelo,balanced_accuracy_cv,test_balanced_accuracy,test_auc_roc_macro,test_auc_pr_macro,test_sensitivity_mean,test_specificity_mean
bowel,intensidade,SVM,0.679 ± 0.174,0.724,0.668,0.517,0.724,0.724
bowel,intensidade,RandomForest,0.546 ± 0.092,0.49,0.242,0.492,0.49,0.49
bowel,intensidade,XGBoost,0.499 ± 0.003,0.5,0.847,0.639,0.5,0.5
bowel,textura,SVM,0.659 ± 0.172,0.337,0.143,0.49,0.337,0.337
bowel,textura,RandomForest,0.54 ± 0.113,0.418,0.347,0.5,0.418,0.418
bowel,textura,XGBoost,0.494 ± 0.006,0.5,0.413,0.504,0.5,0.5
bowel,forma,SVM,0.619 ± 0.135,0.531,0.505,0.509,0.531,0.531
bowel,forma,RandomForest,0.505 ± 0.083,0.403,0.214,0.491,0.403,0.403
bowel,forma,XGBoost,0.545 ± 0.096,0.495,0.378,0.498,0.495,0.495
bowel,combinado,SVM,0.733 ± 0.135,0.352,0.286,0.497,0.352,0.352
bowel,combinado,RandomForest,0.5 ± 0.0,0.495,0.245,0.493,0.495,0.495
bowel,combinado,XGBoost,0.494 ± 0.006,0.495,0.48,0.507,0.495,0.495
extravasation,intensidade,SVM,0.599 ± 0.093,0.478,0.481,0.508,0.478,0.478
extravasation,intensidade,RandomForest,0.499 ± 0.003,0.5,0.499,0.516,0.5,0.5
extravasation,intensidade,XGBoost,0.48 ± 0.007,0.5,0.526,0.518,0.5,0.5
extravasation,textura,SVM,0.548 ± 0.118,0.494,0.534,0.524,0.494,0.494
extravasation,textura,RandomForest,0.543 ± 0.082,0.422,0.524,0.564,0.422,0.422
extravasation,textura,XGBoost,0.509 ± 0.036,0.494,0.451,0.507,0.494,0.494
extravasation,forma,SVM,0.571 ± 0.104,0.522,0.533,0.567,0.522,0.522
extravasation,forma,RandomForest,0.5 ± 0.0,0.5,0.629,0.548,0.5,0.5
extravasation,forma,XGBoost,0.501 ± 0.037,0.589,0.55,0.556,0.589,0.589
extravasation,combinado,SVM,0.569 ± 0.099,0.533,0.423,0.486,0.533,0.533
extravasation,combinado,RandomForest,0.5 ± 0.0,0.494,0.511,0.506,0.494,0.494
extravasation,combinado,XGBoost,0.491 ± 0.008,0.472,0.48,0.505,0.472,0.472
kidney,intensidade,SVM,0.439 ± 0.155,0.258,0.73,0.386,0.258,0.693
kidney,intensidade,RandomForest,0.333 ± 0.0,0.333,0.35,0.335,0.333,0.667
kidney,intensidade,XGBoost,0.355 ± 0.036,0.309,0.29,0.335,0.309,0.643
kidney,textura,SVM,0.474 ± 0.126,0.675,0.782,0.404,0.675,0.776
kidney,textura,RandomForest,0.436 ± 0.116,0.364,0.771,0.391,0.364,0.746
kidney,textura,XGBoost,0.379 ± 0.047,0.323,0.615,0.352,0.323,0.72
kidney,forma,SVM,0.359 ± 0.094,0.74,0.47,0.353,0.74,0.747
kidney,forma,RandomForest,0.341 ± 0.058,0.35,0.617,0.435,0.35,0.733
kidney,forma,XGBoost,0.377 ± 0.069,0.33,0.62,0.381,0.33,0.663
kidney,combinado,SVM,0.488 ± 0.125,0.78,0.888,0.43,0.78,0.8
kidney,combinado,RandomForest,0.378 ± 0.07,0.312,0.621,0.436,0.312,0.646
kidney,combinado,XGBoost,0.423 ± 0.116,0.326,0.623,0.367,0.326,0.66
liver,intensidade,SVM,0.403 ± 0.178,0.356,0.746,0.422,0.356,0.703
liver,intensidade,RandomForest,0.414 ± 0.08,0.444,0.532,0.398,0.444,0.783
liver,intensidade,XGBoost,0.336 ± 0.039,0.389,0.699,0.414,0.389,0.745
liver,textura,SVM,0.459 ± 0.134,0.356,0.573,0.407,0.356,0.676
liver,textura,RandomForest,0.392 ± 0.064,0.259,0.304,0.341,0.259,0.59
liver,textura,XGBoost,0.353 ± 0.038,0.359,0.334,0.368,0.359,0.689
liver,forma,SVM,0.401 ± 0.164,0.4,0.775,0.495,0.4,0.74
liver,forma,RandomForest,0.37 ± 0.045,0.437,0.57,0.394,0.437,0.776
liver,forma,XGBoost,0.341 ± 0.021,0.356,0.527,0.363,0.356,0.685
liver,combinado,SVM,0.401 ± 0.055,0.437,0.692,0.405,0.437,0.78
liver,combinado,RandomForest,0.383 ± 0.056,0.411,0.525,0.391,0.411,0.757
liver,combinado,XGBoost,0.347 ± 0.019,0.404,0.596,0.447,0.404,0.73
spleen,intensidade,SVM,0.478 ± 0.079,0.186,0.489,0.342,0.186,0.569
spleen,intensidade,RandomForest,0.393 ± 0.12,0.313,0.514,0.371,0.313,0.699
spleen,intensidade,XGBoost,0.345 ± 0.056,0.366,0.466,0.337,0.366,0.693
spleen,textura,SVM,0.386 ± 0.067,0.437,0.609,0.393,0.437,0.735
spleen,textura,RandomForest,0.351 ± 0.118,0.327,0.538,0.351,0.327,0.657
spleen,textura,XGBoost,0.374 ± 0.059,0.374,0.547,0.418,0.374,0.678
spleen,forma,SVM,0.411 ± 0.076,0.415,0.541,0.399,0.415,0.715
spleen,forma,RandomForest,0.383 ± 0.128,0.367,0.538,0.383,0.367,0.719
spleen,forma,XGBoost,0.356 ± 0.05,0.318,0.596,0.392,0.318,0.675
spleen,combinado,SVM,0.427 ± 0.074,0.418,0.533,0.352,0.418,0.733
spleen,combinado,RandomForest,0.338 ± 0.07,0.381,0.532,0.359,0.381,0.714
spleen,combinado,XGBoost,0.367 ± 0.035,0.385,0.506,0.408,0.385,0.689
